study_id,pubmed_id
338,37224232.0
6898,32487236.0
9277,34076068.0
6082,
305,
4410,
1455,31913927.0
3398,37005739.0
7302,36260324.0
2399,
5446,28372596.0
3792,21466832.0
4921,34952122.0
1650,31786030.0
2805,35036831.0
144,
1496,
1456,27828927.0
5834,29733561.0
5079,
6108,
2023,
9575,37160235.0
2605,30531397.0
3925,
3817,30286416.0
1871,37142308.0
1671,30858518.0
2915,28739263.0
5080,
1497,
6031,
234,28514237.0
7941,24268616.0
7900,
4421,36573651.0
6078,
6403,
7403,
8749,37392089.0
8177,
8481,28849779.0
1537,
6901,31759333.0
1737,30004254.0
1236,
7077,19545857.0
8982,25271445.0
3148,
4784,37520237.0
6236,
809,
4179,36070831.0
1238,
7980,33483802.0
3000,31526207.0
4841,26919405.0
6361,24922494.0
6469,36302492.0
8989,34971992.0
1807,31230464.0
405,29660637.0
4112,33347027.0
1799,35193541.0
6789,37075822.0
1196,34904800.0
2820,29542371.0
808,
216,36623562.0
8041,36724113.0
9416,
1806,31786934.0
5968,
7397,32539491.0
7200,23428794.0
2556,28666206.0
4031,31374046.0
2813,37496742.0
6106,
1446,30925267.0
2538,
8713,36846225.0
5280,33065824.0
6204,
4924,
6584,36529623.0
3057,
3758,37489299.0
5838,33859685.0
7519,34853114.0
4252,34727422.0
2999,32065415.0
3214,28452409.0
319,
2601,36804489.0
2049,
9594,35176337.0
1510,37181888.0
3305,37844352.0
9173,30063304.0
1418,
7497,33307947.0
6456,
5789,17196053.0
5286,36507365.0
7437,32448048.0
5598,36651238.0
3757,
4057,27441452.0
3018,33143790.0
7073,
7946,36360672.0
7465,30995364.0
5930,31382100.0
6447,
3598,
6730,26554325.0
4241,
4364,35285280.0
7074,24668760.0
2542,31290965.0
4798,25698228.0
2114,31733088.0
5395,32056741.0
54,22705040.0
9520,30927581.0
4739,21557878.0
558,25169854.0
7580,38283689.0
4523,28097909.0
5405,19288975.0
2794,35990286.0
5032,36451150.0
7253,25773961.0
7976,33774537.0
652,28342764.0
3894,
889,35994774.0
772,33888297.0
6357,
3593,34953926.0
5572,34421675.0
394,36970275.0
7075,36071111.0
9238,34398056.0
9595,30260273.0
3909,
9000,33387333.0
3992,32638920.0
1098,
497,33175580.0
5915,25374095.0
9596,32720857.0
1430,
4165,37902038.0
7351,29525051.0
4938,36800597.0
1443,33176071.0
9565,34965393.0
5001,37332247.0
6321,
8987,
128,
5023,33031861.0
1447,
2753,37483552.0
2553,36383742.0
211,
6037,
5739,34483991.0
5396,36729145.0
9603,31617335.0
4815,37963146.0
8180,
5122,
2998,28441895.0
7554,28271731.0
7012,31109201.0
5515,34034067.0
5408,30572160.0
2762,
9179,28490030.0
3818,
5494,25010396.0
8533,30182797.0
1129,27753551.0
8352,
5802,14727004.0
2168,
3257,36670198.0
3353,
5584,37043224.0
4058,
8687,34985832.0
44,
8087,
4424,36209780.0
3594,36516320.0
5898,35431912.0
734,28657160.0
979,36169969.0
410,34153630.0
4117,
1389,30427812.0
9198,36149841.0
9307,37156269.0
6146,
586,34411009.0
5568,32852658.0
5495,25684151.0
2719,32332464.0
563,29448238.0
884,22784486.0
72,22847373.0
9195,30153752.0
5555,36375231.0
7435,26548981.0
6739,28971157.0
2376,
6421,21482474.0
6672,32459407.0
2034,33706168.0
6044,
2825,29700801.0
1522,
2379,
6383,32270176.0
6141,
1882,33833217.0
9612,36126513.0
762,35122282.0
5213,33524683.0
5525,33929660.0
1981,33017679.0
7011,
5511,32871689.0
9495,37060953.0
9331,33360864.0
4370,26867988.0
1820,31166571.0
5328,
6330,34225208.0
6731,
4220,
3592,34538369.0
73,
7956,28757132.0
3111,32485203.0
5121,22978511.0
9567,36309806.0
6385,
9574,30590286.0
528,33022440.0
5081,27028832.0
2092,31994024.0
8777,36581972.0
5641,
9563,33604173.0
6180,
9508,33118052.0
1649,30235716.0
9421,24091902.0
8497,
7240,37792613.0
9629,33305900.0
5700,23172889.0
4236,37352755.0
9466,
1439,34530484.0
1429,
9532,29149755.0
7223,
4008,35387538.0
1433,31421635.0
8990,32565534.0
2416,
6490,31734084.0
8635,37019044.0
1729,
659,31981856.0
5000,37490687.0
8350,28492279.0
6507,19935085.0
5686,
1703,32777649.0
4988,34705064.0
5900,33892777.0
7225,30826253.0
9577,27208499.0
5040,31948296.0
8122,35546042.0
1314,29847468.0
4754,
1891,36907464.0
3850,
9590,35473735.0
5025,33267928.0
3715,
5644,32785636.0
7414,
7807,
2250,35016117.0
8213,
7594,26807672.0
1961,18250253.0
5997,
486,28576285.0
8613,
525,31437480.0
8239,33860182.0
8487,34150406.0
6061,
