study_id,pubmed_id
5716,
2816,29867608.0
4634,
1937,23009959.0
8371,31495712.0
1278,27071089.0
2831,10683849.0
802,26787430.0
6591,15357562.0
8317,8788488.0
3002,33210159.0
1941,24667166.0
4458,26231498.0
7268,11741626.0
69,32092760.0
4141,26257162.0
2252,35294453.0
710,37185950.0
8431,27085214.0
2671,
7837,19336788.0
3782,22700038.0
8671,25107829.0
1792,16316723.0
7187,
6427,15560968.0
4887,28711736.0
7063,30692255.0
7186,
2936,15960638.0
1745,30758327.0
4701,14870949.0
2829,
3149,33902087.0
5466,9807990.0
2231,22676966.0
831,1069314.0
183,21901316.0
4491,34126264.0
5897,
1918,11085324.0
184,25691501.0
6648,33567945.0
1679,21603893.0
6284,
7170,19092784.0
9040,14735294.0
5621,31570056.0
4826,27075438.0
4850,16903453.0
4639,16508761.0
1220,32578718.0
6055,
5817,16292322.0
792,
6635,
3160,30020423.0
7172,
2269,
2880,
4825,33747545.0
1559,11741758.0
959,34867525.0
4824,35580701.0
9124,23609769.0
3175,31013281.0
2874,37533588.0
6906,25171488.0
650,30574112.0
8553,31745107.0
1740,23909006.0
6413,28402682.0
6621,33122965.0
6979,26875114.0
86,
8843,35743788.0
7386,
2501,32252062.0
1281,
2502,
7354,
903,
6451,30551012.0
6022,
7436,37341764.0
3605,25896256.0
4643,21616977.0
4567,
7174,37159257.0
3182,29703645.0
3020,17497553.0
9472,12214826.0
187,9611670.0
9044,
7126,16425060.0
1825,
3646,15537676.0
1849,14561934.0
4645,17219216.0
8909,15982991.0
3647,
3364,18384979.0
2161,28825422.0
7504,
5944,20727411.0
6649,31247301.0
5544,33212404.0
3681,16510487.0
9151,35158230.0
1580,8787037.0
973,
4935,27977717.0
5845,37459910.0
7601,21807471.0
2160,
4195,
5759,28631348.0
9037,15181650.0
2279,36762714.0
5758,15943546.0
6087,
7168,16160704.0
4786,26010878.0
8911,
94,
1751,
5887,
5756,15668817.0
5760,17960556.0
5755,18512857.0
3679,
4910,
6605,12105117.0
4665,29372569.0
869,20615932.0
3463,33420592.0
9470,
8955,25155312.0
2628,16915582.0
4383,
8264,
2806,22302139.0
1554,18515464.0
4762,29123145.0
5657,9797933.0
8042,34973601.0
8660,17591661.0
2623,18515461.0
814,27859780.0
2927,
3780,22277989.0
4931,24106975.0
8101,32820851.0
890,
4357,24882155.0
834,37348116.0
8767,26630613.0
7262,29160330.0
2622,24446108.0
1968,
644,28790944.0
2637,30852397.0
8519,28556775.0
3648,
218,14499316.0
6568,
6606,17523988.0
7537,22851941.0
8937,32497976.0
8712,24267407.0
532,
3588,
7406,26104826.0
2930,12191827.0
8400,
5647,15219343.0
2912,
7702,9788011.0
3436,37384948.0
4847,10836284.0
5738,
2187,
1102,
8706,9683005.0
6690,23112822.0
1001,28722422.0
4390,25693889.0
5943,29105665.0
8249,30357437.0
2370,28397841.0
4403,35124400.0
5221,35157985.0
7903,26123243.0
4901,30959192.0
4720,35779673.0
9211,32642957.0
9412,
1845,18649072.0
5801,19111280.0
2332,10355218.0
4103,
1828,30909821.0
1892,32003691.0
2506,
5772,21302161.0
3651,
1789,30627504.0
3653,19890262.0
2123,37310110.0
690,36093918.0
602,32186250.0
5154,36066961.0
6725,27626048.0
8817,22906553.0
4500,29528296.0
7318,21161184.0
9194,31467392.0
4254,
798,31042696.0
8485,
7483,33860185.0
7515,32469809.0
